MaThuoc,TenThuoc,TenThuocKhongDau,DonVi,DonGia
T04578,Diazepam 5 ml (Mekophar - Lot 333),Diazepam 5 ml (Mekophar - Lot 333),Hộp,491470
T04579,Giảm Đau 5 mg (Mekophar - Lot 905),Giam Dau 5 mg (Mekophar - Lot 905),Viên nang,366920
T04580,Diazepam 5 ml (Viên nén - Lot 681),Diazepam 5 ml (Vien nen - Lot 681),Chai,264180
T04581,Metformin 100 mg (Mekophar - Lot 679),Metformin 100 mg (Mekophar - Lot 679),Gói,42040
T04582,Levothyroxine 5 ml (Mekophar - Lot 252),Levothyroxine 5 ml (Mekophar - Lot 252),Gói,149400
T04583,Amoxicillin 10 mg (Mekophar - Lot 979),Amoxicillin 10 mg (Mekophar - Lot 979),Tuýp,328280
T04584,Fluconazole 5 mg (Domesco - Lot 897),Fluconazole 5 mg (Domesco - Lot 897),Gói,141560
T04585,Giảm Đau 1000 IU (Viên nén - Lot 982),Giam Dau 1000 IU (Vien nen - Lot 982),Tuýp,92190
T04586,Cefuroxim 100 mg (Viên nén - Lot 937),Cefuroxim 100 mg (Vien nen - Lot 937),Gói,308290
T04587,Pantoprazole 10 mg (Viên nén - Lot 543),Pantoprazole 10 mg (Vien nen - Lot 543),Ống tiêm,228540
T04588,Hạ Sốt 500 mg (Domesco - Lot 657),Ha Sot 500 mg (Domesco - Lot 657),Ống tiêm,235650
T04589,Aspirin 5 mg (Mekophar - Lot 339),Aspirin 5 mg (Mekophar - Lot 339),Hộp,224310
T04590,Fluconazole 100 mg (Mekophar - Lot 155),Fluconazole 100 mg (Mekophar - Lot 155),Viên nang,290870
T04591,Levothyroxine 5 mg (Viên nén - Lot 406),Levothyroxine 5 mg (Vien nen - Lot 406),Viên nang,231540
T04592,Levothyroxine 5 mg (Domesco - Lot 563),Levothyroxine 5 mg (Domesco - Lot 563),Hộp,381230
T04593,Fluconazole 5 ml (Viên nén - Lot 974),Fluconazole 5 ml (Vien nen - Lot 974),Gói,176430
T04594,Vitamin C 10 mg (Viên nén - Lot 688),Vitamin C 10 mg (Vien nen - Lot 688),Tuýp,222860
T04595,Doxycycline 100 mg (Viên nén - Lot 813),Doxycycline 100 mg (Vien nen - Lot 813),Gói,229300
T04596,Hạ Sốt 250 mg (Mekophar - Lot 830),Ha Sot 250 mg (Mekophar - Lot 830),Chai,21820
T04597,Ibuprofen 10 mg (Mekophar - Lot 214),Ibuprofen 10 mg (Mekophar - Lot 214),Chai,386180
T04598,Diclofenac 10 mg (Stada - Lot 121),Diclofenac 10 mg (Stada - Lot 121),Hộp,62640
T04599,Giảm Đau 250 mg (Domesco - Lot 694),Giam Dau 250 mg (Domesco - Lot 694),Chai,31110
T04600,Prednisolone 10 mg (Stada - Lot 446),Prednisolone 10 mg (Stada - Lot 446),Hộp,112370
T04601,Doxycycline 5 ml (Domesco - Lot 305),Doxycycline 5 ml (Domesco - Lot 305),Chai,333480
T04602,Cefuroxim 5 mg (Viên nén - Lot 493),Cefuroxim 5 mg (Vien nen - Lot 493),Viên nén,272240
T04603,Ibuprofen 5 ml (Stada - Lot 778),Ibuprofen 5 ml (Stada - Lot 778),Gói,146440
T04604,Pantoprazole 5 ml (Domesco - Lot 837),Pantoprazole 5 ml (Domesco - Lot 837),Hộp,465710
T04605,Diazepam 100 mg (Viên nén - Lot 680),Diazepam 100 mg (Vien nen - Lot 680),Hộp,339530
T04606,Chống Viêm 5 mg (Mekophar - Lot 152),Chong Viem 5 mg (Mekophar - Lot 152),Chai,38260
T04607,Aspirin 5 ml (Domesco - Lot 266),Aspirin 5 ml (Domesco - Lot 266),Chai,188760
T04608,Aspirin 5 mg (Viên nén - Lot 550),Aspirin 5 mg (Vien nen - Lot 550),Chai,376120
T04609,Captopril 500 mg (Stada - Lot 831),Captopril 500 mg (Stada - Lot 831),Tuýp,124000
T04610,Chống Viêm 500 mg (Stada - Lot 613),Chong Viem 500 mg (Stada - Lot 613),Viên nén,241550
T04611,Aspirin 250 mg (Mekophar - Lot 942),Aspirin 250 mg (Mekophar - Lot 942),Hộp,173940
T04612,Cefuroxim 250 mg (Viên nén - Lot 214),Cefuroxim 250 mg (Vien nen - Lot 214),Gói,252770
T04613,Cefuroxim 100 mg (Stada - Lot 793),Cefuroxim 100 mg (Stada - Lot 793),Hộp,455340
T04614,Paracetamol 500 mg (Stada - Lot 983),Paracetamol 500 mg (Stada - Lot 983),Chai,377700
T04615,Ibuprofen 5 ml (Mekophar - Lot 914),Ibuprofen 5 ml (Mekophar - Lot 914),Ống tiêm,12620
T04616,Doxycycline 250 mg (Stada - Lot 525),Doxycycline 250 mg (Stada - Lot 525),Tuýp,182360
T04617,Amoxicillin 1000 IU (Domesco - Lot 824),Amoxicillin 1000 IU (Domesco - Lot 824),Gói,142330
T04618,Aspirin 250 mg (Mekophar - Lot 336),Aspirin 250 mg (Mekophar - Lot 336),Hộp,197180
T04619,Paracetamol 5 mg (Stada - Lot 599),Paracetamol 5 mg (Stada - Lot 599),Chai,372670
T04620,Aspirin 5 ml (Mekophar - Lot 507),Aspirin 5 ml (Mekophar - Lot 507),Hộp,395720
T04621,Ibuprofen 5 mg (Mekophar - Lot 164),Ibuprofen 5 mg (Mekophar - Lot 164),Hộp,376270
T04622,Atorvastatin 250 mg (Domesco - Lot 161),Atorvastatin 250 mg (Domesco - Lot 161),Chai,369720
T04623,Paracetamol 5 mg (Stada - Lot 398),Paracetamol 5 mg (Stada - Lot 398),Gói,164470
T04624,Losartan 500 mg (Stada - Lot 174),Losartan 500 mg (Stada - Lot 174),Viên nang,499980
T04625,Cefuroxim 100 mg (Viên nén - Lot 253),Cefuroxim 100 mg (Vien nen - Lot 253),Chai,474790
T04626,Prednisolone 250 mg (Domesco - Lot 862),Prednisolone 250 mg (Domesco - Lot 862),Viên nén,370780
T04627,Captopril 250 mg (Viên nén - Lot 700),Captopril 250 mg (Vien nen - Lot 700),Tuýp,47500
T04628,Cefuroxim 10 mg (Domesco - Lot 780),Cefuroxim 10 mg (Domesco - Lot 780),Viên nén,466420
T04629,Amoxicillin 100 mg (Mekophar - Lot 653),Amoxicillin 100 mg (Mekophar - Lot 653),Tuýp,416250
T04630,Paracetamol 5 mg (Mekophar - Lot 521),Paracetamol 5 mg (Mekophar - Lot 521),Viên nang,162500
T04631,Levothyroxine 5 ml (Mekophar - Lot 407),Levothyroxine 5 ml (Mekophar - Lot 407),Chai,191880
T04632,Cefuroxim 10 mg (Domesco - Lot 270),Cefuroxim 10 mg (Domesco - Lot 270),Viên nang,380160
T04633,Ibuprofen 100 mg (Viên nén - Lot 467),Ibuprofen 100 mg (Vien nen - Lot 467),Tuýp,140270
T04634,Fluconazole 10 mg (Stada - Lot 343),Fluconazole 10 mg (Stada - Lot 343),Viên nang,436330
T04635,Amoxicillin 5 mg (Domesco - Lot 866),Amoxicillin 5 mg (Domesco - Lot 866),Tuýp,385430
T04636,Chống Viêm 10 mg (Domesco - Lot 364),Chong Viem 10 mg (Domesco - Lot 364),Tuýp,385350
T04637,Atorvastatin 100 mg (Mekophar - Lot 135),Atorvastatin 100 mg (Mekophar - Lot 135),Hộp,37700
T04638,Amoxicillin 250 mg (Mekophar - Lot 608),Amoxicillin 250 mg (Mekophar - Lot 608),Ống tiêm,61770
T04639,Cefuroxim 250 mg (Domesco - Lot 939),Cefuroxim 250 mg (Domesco - Lot 939),Hộp,323730
T04640,Furosemide 10 mg (Mekophar - Lot 669),Furosemide 10 mg (Mekophar - Lot 669),Chai,114780
T04641,Doxycycline 1000 IU (Domesco - Lot 812),Doxycycline 1000 IU (Domesco - Lot 812),Chai,124710
T04642,Pantoprazole 5 mg (Mekophar - Lot 502),Pantoprazole 5 mg (Mekophar - Lot 502),Gói,178840
T04643,Aspirin 1000 IU (Viên nén - Lot 806),Aspirin 1000 IU (Vien nen - Lot 806),Chai,370320
T04644,Loratadine 5 ml (Viên nén - Lot 494),Loratadine 5 ml (Vien nen - Lot 494),Hộp,295870
T04645,Aspirin 5 mg (Viên nén - Lot 381),Aspirin 5 mg (Vien nen - Lot 381),Hộp,416060
T04646,Pantoprazole 5 mg (Domesco - Lot 237),Pantoprazole 5 mg (Domesco - Lot 237),Viên nén,149500
T04647,Chống Viêm 1000 IU (Stada - Lot 370),Chong Viem 1000 IU (Stada - Lot 370),Hộp,208110
T04648,Prednisolone 5 ml (Stada - Lot 723),Prednisolone 5 ml (Stada - Lot 723),Gói,421520
T04649,Losartan 1000 IU (Domesco - Lot 725),Losartan 1000 IU (Domesco - Lot 725),Viên nang,382680
T04650,Prednisolone 10 mg (Domesco - Lot 336),Prednisolone 10 mg (Domesco - Lot 336),Viên nang,75970
T04651,Amoxicillin 5 mg (Mekophar - Lot 353),Amoxicillin 5 mg (Mekophar - Lot 353),Viên nang,37290
T04652,Loratadine 1000 IU (Domesco - Lot 358),Loratadine 1000 IU (Domesco - Lot 358),Tuýp,45710
T04653,Aspirin 10 mg (Viên nén - Lot 739),Aspirin 10 mg (Vien nen - Lot 739),Chai,457870
T04654,Loratadine 10 mg (Viên nén - Lot 101),Loratadine 10 mg (Vien nen - Lot 101),Hộp,444680
T04655,Cefuroxim 100 mg (Viên nén - Lot 589),Cefuroxim 100 mg (Vien nen - Lot 589),Gói,395960
T04656,Atorvastatin 250 mg (Mekophar - Lot 548),Atorvastatin 250 mg (Mekophar - Lot 548),Viên nang,407270
T04657,Metformin 500 mg (Viên nén - Lot 403),Metformin 500 mg (Vien nen - Lot 403),Viên nén,19250
T04658,Diazepam 5 mg (Viên nén - Lot 473),Diazepam 5 mg (Vien nen - Lot 473),Ống tiêm,342750
T04659,Furosemide 5 ml (Mekophar - Lot 878),Furosemide 5 ml (Mekophar - Lot 878),Gói,477950
T04660,Fluconazole 100 mg (Stada - Lot 332),Fluconazole 100 mg (Stada - Lot 332),Viên nang,367990
T04661,Paracetamol 500 mg (Stada - Lot 910),Paracetamol 500 mg (Stada - Lot 910),Hộp,141430
T04662,Paracetamol 250 mg (Viên nén - Lot 220),Paracetamol 250 mg (Vien nen - Lot 220),Viên nang,20130
T04663,Fluconazole 10 mg (Stada - Lot 134),Fluconazole 10 mg (Stada - Lot 134),Hộp,200220
T04664,Doxycycline 250 mg (Stada - Lot 914),Doxycycline 250 mg (Stada - Lot 914),Hộp,38490
T04665,Hạ Sốt 250 mg (Stada - Lot 145),Ha Sot 250 mg (Stada - Lot 145),Hộp,176230
T04666,Giảm Đau 250 mg (Mekophar - Lot 972),Giam Dau 250 mg (Mekophar - Lot 972),Viên nén,473600
T04667,Diclofenac 10 mg (Stada - Lot 159),Diclofenac 10 mg (Stada - Lot 159),Hộp,435090
T04668,Diazepam 250 mg (Stada - Lot 881),Diazepam 250 mg (Stada - Lot 881),Hộp,218970
T04669,Diclofenac 100 mg (Mekophar - Lot 218),Diclofenac 100 mg (Mekophar - Lot 218),Ống tiêm,47570
T04670,Omeprazole 500 mg (Viên nén - Lot 573),Omeprazole 500 mg (Vien nen - Lot 573),Gói,9950
T04671,Levothyroxine 5 mg (Mekophar - Lot 898),Levothyroxine 5 mg (Mekophar - Lot 898),Viên nén,449730
T04672,Vitamin C 1000 IU (Domesco - Lot 488),Vitamin C 1000 IU (Domesco - Lot 488),Viên nang,481590
T04673,Losartan 5 ml (Stada - Lot 152),Losartan 5 ml (Stada - Lot 152),Viên nang,234830
T04674,Diazepam 500 mg (Mekophar - Lot 314),Diazepam 500 mg (Mekophar - Lot 314),Hộp,478570
T04675,Losartan 10 mg (Mekophar - Lot 839),Losartan 10 mg (Mekophar - Lot 839),Tuýp,12820
T04676,Paracetamol 100 mg (Viên nén - Lot 646),Paracetamol 100 mg (Vien nen - Lot 646),Ống tiêm,465710
T04677,Hạ Sốt 500 mg (Stada - Lot 469),Ha Sot 500 mg (Stada - Lot 469),Tuýp,351140
T04678,Chống Viêm 1000 IU (Mekophar - Lot 865),Chong Viem 1000 IU (Mekophar - Lot 865),Viên nang,359410
T04679,Aspirin 500 mg (Viên nén - Lot 160),Aspirin 500 mg (Vien nen - Lot 160),Chai,194770
T04680,Ibuprofen 250 mg (Mekophar - Lot 461),Ibuprofen 250 mg (Mekophar - Lot 461),Gói,390610
T04681,Losartan 1000 IU (Stada - Lot 530),Losartan 1000 IU (Stada - Lot 530),Gói,297200
T04682,Hạ Sốt 10 mg (Stada - Lot 466),Ha Sot 10 mg (Stada - Lot 466),Chai,196990
T04683,Fluconazole 1000 IU (Mekophar - Lot 443),Fluconazole 1000 IU (Mekophar - Lot 443),Viên nén,434820
T04684,Paracetamol 1000 IU (Domesco - Lot 954),Paracetamol 1000 IU (Domesco - Lot 954),Tuýp,188810
T04685,Paracetamol 500 mg (Viên nén - Lot 329),Paracetamol 500 mg (Vien nen - Lot 329),Ống tiêm,449160
T04686,Furosemide 10 mg (Mekophar - Lot 798),Furosemide 10 mg (Mekophar - Lot 798),Hộp,434880
T04687,Chống Viêm 5 ml (Mekophar - Lot 657),Chong Viem 5 ml (Mekophar - Lot 657),Ống tiêm,169380
T04688,Vitamin C 250 mg (Mekophar - Lot 660),Vitamin C 250 mg (Mekophar - Lot 660),Ống tiêm,67480
T04689,Omeprazole 10 mg (Stada - Lot 963),Omeprazole 10 mg (Stada - Lot 963),Viên nang,339510
T04690,Metformin 250 mg (Viên nén - Lot 553),Metformin 250 mg (Vien nen - Lot 553),Viên nang,153320
T04691,Ibuprofen 100 mg (Domesco - Lot 122),Ibuprofen 100 mg (Domesco - Lot 122),Hộp,252020
T04692,Furosemide 10 mg (Stada - Lot 567),Furosemide 10 mg (Stada - Lot 567),Chai,297310
T04693,Giảm Đau 250 mg (Mekophar - Lot 106),Giam Dau 250 mg (Mekophar - Lot 106),Viên nang,77960
T04694,Cefuroxim 5 mg (Mekophar - Lot 824),Cefuroxim 5 mg (Mekophar - Lot 824),Tuýp,345560
T04695,Pantoprazole 1000 IU (Stada - Lot 163),Pantoprazole 1000 IU (Stada - Lot 163),Ống tiêm,475900
T04696,Cefuroxim 100 mg (Domesco - Lot 612),Cefuroxim 100 mg (Domesco - Lot 612),Viên nang,468070
T04697,Aspirin 5 ml (Viên nén - Lot 966),Aspirin 5 ml (Vien nen - Lot 966),Hộp,199100
T04698,Diazepam 5 ml (Viên nén - Lot 372),Diazepam 5 ml (Vien nen - Lot 372),Viên nang,212360
T04699,Cefuroxim 10 mg (Stada - Lot 815),Cefuroxim 10 mg (Stada - Lot 815),Tuýp,480620
T04700,Paracetamol 250 mg (Viên nén - Lot 612),Paracetamol 250 mg (Vien nen - Lot 612),Viên nén,256640
T04701,Diclofenac 5 ml (Viên nén - Lot 240),Diclofenac 5 ml (Vien nen - Lot 240),Tuýp,463390
T04702,Hạ Sốt 5 ml (Domesco - Lot 217),Ha Sot 5 ml (Domesco - Lot 217),Tuýp,364100
T04703,Diazepam 500 mg (Mekophar - Lot 261),Diazepam 500 mg (Mekophar - Lot 261),Tuýp,308700
T04704,Hạ Sốt 250 mg (Mekophar - Lot 225),Ha Sot 250 mg (Mekophar - Lot 225),Chai,222280
T04705,Loratadine 5 ml (Mekophar - Lot 629),Loratadine 5 ml (Mekophar - Lot 629),Tuýp,157060
T04706,Giảm Đau 100 mg (Domesco - Lot 224),Giam Dau 100 mg (Domesco - Lot 224),Viên nén,97990
T04707,Hạ Sốt 250 mg (Viên nén - Lot 582),Ha Sot 250 mg (Vien nen - Lot 582),Ống tiêm,329530
T04708,Prednisolone 250 mg (Domesco - Lot 215),Prednisolone 250 mg (Domesco - Lot 215),Ống tiêm,118630
T04709,Furosemide 100 mg (Domesco - Lot 723),Furosemide 100 mg (Domesco - Lot 723),Hộp,422730
T04710,Vitamin C 500 mg (Mekophar - Lot 921),Vitamin C 500 mg (Mekophar - Lot 921),Gói,446060
T04711,Prednisolone 500 mg (Domesco - Lot 135),Prednisolone 500 mg (Domesco - Lot 135),Chai,301530
T04712,Atorvastatin 250 mg (Viên nén - Lot 664),Atorvastatin 250 mg (Vien nen - Lot 664),Viên nén,237230
T04713,Metformin 1000 IU (Viên nén - Lot 372),Metformin 1000 IU (Vien nen - Lot 372),Gói,386570
T04714,Fluconazole 250 mg (Viên nén - Lot 894),Fluconazole 250 mg (Vien nen - Lot 894),Viên nang,126230
T04715,Vitamin C 100 mg (Mekophar - Lot 851),Vitamin C 100 mg (Mekophar - Lot 851),Hộp,414890
T04716,Diclofenac 500 mg (Viên nén - Lot 213),Diclofenac 500 mg (Vien nen - Lot 213),Viên nang,155670
T04717,Diclofenac 5 mg (Mekophar - Lot 458),Diclofenac 5 mg (Mekophar - Lot 458),Viên nén,471430
T04718,Omeprazole 1000 IU (Viên nén - Lot 750),Omeprazole 1000 IU (Vien nen - Lot 750),Tuýp,168740
T04719,Losartan 5 ml (Mekophar - Lot 333),Losartan 5 ml (Mekophar - Lot 333),Chai,441150
T04720,Ibuprofen 500 mg (Stada - Lot 708),Ibuprofen 500 mg (Stada - Lot 708),Viên nang,92150
T04721,Chống Viêm 1000 IU (Mekophar - Lot 171),Chong Viem 1000 IU (Mekophar - Lot 171),Ống tiêm,247780
T04722,Losartan 10 mg (Mekophar - Lot 347),Losartan 10 mg (Mekophar - Lot 347),Tuýp,109090
T04723,Captopril 10 mg (Viên nén - Lot 819),Captopril 10 mg (Vien nen - Lot 819),Gói,329090
T04724,Levothyroxine 10 mg (Domesco - Lot 574),Levothyroxine 10 mg (Domesco - Lot 574),Viên nén,114330
T04725,Omeprazole 10 mg (Domesco - Lot 799),Omeprazole 10 mg (Domesco - Lot 799),Viên nang,30820
T04726,Pantoprazole 500 mg (Domesco - Lot 671),Pantoprazole 500 mg (Domesco - Lot 671),Viên nén,65560
T04727,Pantoprazole 100 mg (Stada - Lot 267),Pantoprazole 100 mg (Stada - Lot 267),Ống tiêm,64360
T04728,Cefuroxim 5 mg (Viên nén - Lot 961),Cefuroxim 5 mg (Vien nen - Lot 961),Viên nang,114290
T04729,Atorvastatin 500 mg (Stada - Lot 844),Atorvastatin 500 mg (Stada - Lot 844),Tuýp,342380
T04730,Cefuroxim 500 mg (Stada - Lot 878),Cefuroxim 500 mg (Stada - Lot 878),Chai,408660
T04731,Losartan 250 mg (Stada - Lot 934),Losartan 250 mg (Stada - Lot 934),Chai,447350
T04732,Doxycycline 5 ml (Stada - Lot 824),Doxycycline 5 ml (Stada - Lot 824),Viên nang,430170
T04733,Diclofenac 1000 IU (Stada - Lot 701),Diclofenac 1000 IU (Stada - Lot 701),Gói,359350
T04734,Paracetamol 10 mg (Stada - Lot 266),Paracetamol 10 mg (Stada - Lot 266),Hộp,122800
T04735,Diclofenac 100 mg (Domesco - Lot 651),Diclofenac 100 mg (Domesco - Lot 651),Hộp,241320
T04736,Furosemide 5 mg (Viên nén - Lot 943),Furosemide 5 mg (Vien nen - Lot 943),Viên nang,100950
T04737,Furosemide 500 mg (Mekophar - Lot 249),Furosemide 500 mg (Mekophar - Lot 249),Viên nén,455730
T04738,Loratadine 100 mg (Viên nén - Lot 105),Loratadine 100 mg (Vien nen - Lot 105),Chai,125360
T04739,Diazepam 250 mg (Domesco - Lot 308),Diazepam 250 mg (Domesco - Lot 308),Tuýp,89660
T04740,Doxycycline 100 mg (Stada - Lot 596),Doxycycline 100 mg (Stada - Lot 596),Ống tiêm,148590
T04741,Levothyroxine 500 mg (Viên nén - Lot 900),Levothyroxine 500 mg (Vien nen - Lot 900),Chai,451550
T04742,Aspirin 5 ml (Domesco - Lot 890),Aspirin 5 ml (Domesco - Lot 890),Viên nang,170050
T04743,Giảm Đau 250 mg (Stada - Lot 913),Giam Dau 250 mg (Stada - Lot 913),Hộp,24670
T04744,Diazepam 5 ml (Viên nén - Lot 802),Diazepam 5 ml (Vien nen - Lot 802),Viên nang,371430
T04745,Fluconazole 500 mg (Domesco - Lot 941),Fluconazole 500 mg (Domesco - Lot 941),Viên nang,292930
T04746,Pantoprazole 1000 IU (Stada - Lot 201),Pantoprazole 1000 IU (Stada - Lot 201),Viên nang,252050
T04747,Metformin 5 ml (Domesco - Lot 321),Metformin 5 ml (Domesco - Lot 321),Hộp,52220
T04748,Aspirin 5 ml (Mekophar - Lot 131),Aspirin 5 ml (Mekophar - Lot 131),Chai,327630
T04749,Furosemide 1000 IU (Domesco - Lot 238),Furosemide 1000 IU (Domesco - Lot 238),Tuýp,41850
T04750,Paracetamol 1000 IU (Stada - Lot 329),Paracetamol 1000 IU (Stada - Lot 329),Viên nang,106020
T04751,Fluconazole 500 mg (Domesco - Lot 982),Fluconazole 500 mg (Domesco - Lot 982),Viên nén,126840
T04752,Paracetamol 100 mg (Viên nén - Lot 732),Paracetamol 100 mg (Vien nen - Lot 732),Viên nén,222980
T04753,Prednisolone 500 mg (Domesco - Lot 315),Prednisolone 500 mg (Domesco - Lot 315),Tuýp,82620
T04754,Losartan 100 mg (Viên nén - Lot 495),Losartan 100 mg (Vien nen - Lot 495),Viên nang,100390
T04755,Vitamin C 1000 IU (Viên nén - Lot 736),Vitamin C 1000 IU (Vien nen - Lot 736),Ống tiêm,145940
T04756,Atorvastatin 100 mg (Stada - Lot 642),Atorvastatin 100 mg (Stada - Lot 642),Chai,70510
T04757,Levothyroxine 250 mg (Domesco - Lot 524),Levothyroxine 250 mg (Domesco - Lot 524),Hộp,72210
T04758,Atorvastatin 10 mg (Domesco - Lot 748),Atorvastatin 10 mg (Domesco - Lot 748),Viên nang,36960
T04759,Chống Viêm 250 mg (Domesco - Lot 705),Chong Viem 250 mg (Domesco - Lot 705),Gói,466620
T04760,Doxycycline 1000 IU (Stada - Lot 900),Doxycycline 1000 IU (Stada - Lot 900),Viên nén,423040
T04761,Doxycycline 10 mg (Viên nén - Lot 949),Doxycycline 10 mg (Vien nen - Lot 949),Tuýp,143900
T04762,Levothyroxine 10 mg (Domesco - Lot 867),Levothyroxine 10 mg (Domesco - Lot 867),Viên nén,226090
T04763,Aspirin 5 ml (Viên nén - Lot 981),Aspirin 5 ml (Vien nen - Lot 981),Chai,93530
T04764,Diclofenac 1000 IU (Stada - Lot 529),Diclofenac 1000 IU (Stada - Lot 529),Viên nang,463910
T04765,Levothyroxine 1000 IU (Domesco - Lot 253),Levothyroxine 1000 IU (Domesco - Lot 253),Chai,474920
T04766,Fluconazole 10 mg (Viên nén - Lot 349),Fluconazole 10 mg (Vien nen - Lot 349),Hộp,90730
T04767,Diclofenac 1000 IU (Domesco - Lot 842),Diclofenac 1000 IU (Domesco - Lot 842),Viên nén,198370
T04768,Doxycycline 5 ml (Mekophar - Lot 977),Doxycycline 5 ml (Mekophar - Lot 977),Tuýp,432280
T04769,Aspirin 5 ml (Domesco - Lot 405),Aspirin 5 ml (Domesco - Lot 405),Ống tiêm,139890
T04770,Fluconazole 10 mg (Mekophar - Lot 527),Fluconazole 10 mg (Mekophar - Lot 527),Viên nén,129730
T04771,Losartan 5 mg (Domesco - Lot 916),Losartan 5 mg (Domesco - Lot 916),Gói,431200
T04772,Amoxicillin 5 mg (Mekophar - Lot 344),Amoxicillin 5 mg (Mekophar - Lot 344),Viên nén,80570
T04773,Giảm Đau 1000 IU (Domesco - Lot 716),Giam Dau 1000 IU (Domesco - Lot 716),Chai,336550
T04774,Omeprazole 250 mg (Stada - Lot 381),Omeprazole 250 mg (Stada - Lot 381),Gói,162100
T04775,Paracetamol 10 mg (Mekophar - Lot 294),Paracetamol 10 mg (Mekophar - Lot 294),Viên nén,33360
T04776,Paracetamol 250 mg (Viên nén - Lot 371),Paracetamol 250 mg (Vien nen - Lot 371),Gói,480670
T04777,Chống Viêm 5 ml (Stada - Lot 586),Chong Viem 5 ml (Stada - Lot 586),Viên nén,55060
T04778,Atorvastatin 5 ml (Domesco - Lot 380),Atorvastatin 5 ml (Domesco - Lot 380),Tuýp,248570
T04779,Cefuroxim 10 mg (Mekophar - Lot 204),Cefuroxim 10 mg (Mekophar - Lot 204),Viên nén,374330
T04780,Loratadine 100 mg (Viên nén - Lot 988),Loratadine 100 mg (Vien nen - Lot 988),Hộp,488050
T04781,Cefuroxim 1000 IU (Domesco - Lot 387),Cefuroxim 1000 IU (Domesco - Lot 387),Tuýp,59310
T04782,Amoxicillin 500 mg (Viên nén - Lot 877),Amoxicillin 500 mg (Vien nen - Lot 877),Chai,22520
T04783,Hạ Sốt 1000 IU (Stada - Lot 914),Ha Sot 1000 IU (Stada - Lot 914),Tuýp,462590
T04784,Atorvastatin 100 mg (Viên nén - Lot 141),Atorvastatin 100 mg (Vien nen - Lot 141),Gói,456850
T04785,Diclofenac 10 mg (Stada - Lot 648),Diclofenac 10 mg (Stada - Lot 648),Tuýp,51170
T04786,Ibuprofen 5 ml (Viên nén - Lot 676),Ibuprofen 5 ml (Vien nen - Lot 676),Viên nang,205090
T04787,Metformin 5 mg (Viên nén - Lot 558),Metformin 5 mg (Vien nen - Lot 558),Tuýp,486830
T04788,Diclofenac 500 mg (Mekophar - Lot 500),Diclofenac 500 mg (Mekophar - Lot 500),Ống tiêm,179190
T04789,Metformin 100 mg (Domesco - Lot 249),Metformin 100 mg (Domesco - Lot 249),Viên nén,98710
T04790,Doxycycline 100 mg (Domesco - Lot 925),Doxycycline 100 mg (Domesco - Lot 925),Viên nén,492840
T04791,Diclofenac 10 mg (Viên nén - Lot 687),Diclofenac 10 mg (Vien nen - Lot 687),Hộp,25090
T04792,Losartan 5 ml (Domesco - Lot 487),Losartan 5 ml (Domesco - Lot 487),Hộp,364580
T04793,Furosemide 10 mg (Mekophar - Lot 446),Furosemide 10 mg (Mekophar - Lot 446),Viên nén,36460
T04794,Loratadine 10 mg (Mekophar - Lot 822),Loratadine 10 mg (Mekophar - Lot 822),Viên nang,276740
T04795,Levothyroxine 1000 IU (Mekophar - Lot 568),Levothyroxine 1000 IU (Mekophar - Lot 568),Chai,126030
T04796,Pantoprazole 10 mg (Domesco - Lot 559),Pantoprazole 10 mg (Domesco - Lot 559),Chai,7890
T04797,Metformin 500 mg (Viên nén - Lot 994),Metformin 500 mg (Vien nen - Lot 994),Gói,159110
T04798,Doxycycline 250 mg (Domesco - Lot 306),Doxycycline 250 mg (Domesco - Lot 306),Hộp,110410
T04799,Vitamin C 1000 IU (Mekophar - Lot 117),Vitamin C 1000 IU (Mekophar - Lot 117),Ống tiêm,462860
T04800,Atorvastatin 250 mg (Domesco - Lot 651),Atorvastatin 250 mg (Domesco - Lot 651),Chai,169160
T04801,Atorvastatin 5 ml (Stada - Lot 399),Atorvastatin 5 ml (Stada - Lot 399),Viên nén,497390
T04802,Fluconazole 5 mg (Mekophar - Lot 847),Fluconazole 5 mg (Mekophar - Lot 847),Hộp,160500
T04803,Diclofenac 100 mg (Viên nén - Lot 493),Diclofenac 100 mg (Vien nen - Lot 493),Chai,117450
T04804,Diazepam 10 mg (Viên nén - Lot 956),Diazepam 10 mg (Vien nen - Lot 956),Viên nang,216150
T04805,Levothyroxine 5 mg (Stada - Lot 842),Levothyroxine 5 mg (Stada - Lot 842),Viên nén,209420
T04806,Captopril 500 mg (Mekophar - Lot 984),Captopril 500 mg (Mekophar - Lot 984),Hộp,196740
T04807,Giảm Đau 5 ml (Stada - Lot 969),Giam Dau 5 ml (Stada - Lot 969),Tuýp,68740
T04808,Chống Viêm 500 mg (Stada - Lot 782),Chong Viem 500 mg (Stada - Lot 782),Hộp,359280
T04809,Amoxicillin 5 ml (Mekophar - Lot 652),Amoxicillin 5 ml (Mekophar - Lot 652),Tuýp,19480
T04810,Metformin 1000 IU (Viên nén - Lot 900),Metformin 1000 IU (Vien nen - Lot 900),Viên nén,204990
T04811,Metformin 500 mg (Stada - Lot 474),Metformin 500 mg (Stada - Lot 474),Hộp,165320
T04812,Paracetamol 1000 IU (Domesco - Lot 468),Paracetamol 1000 IU (Domesco - Lot 468),Viên nang,429560
